customer_unique_id,recency_days,total_orders,total_spent,avg_review,min_review,pct_low_review,avg_payment,payment_types,buyer_type,churned
000bfa1d2f1a41876493be685390d6d3,335,2,93.7,4.5,4.0,0.0,46.85,1,Repeat,1
000e309254ab1fc5ba99dd469d36bdb4,66,2,78.42,3.0,3.0,0.0,39.21,2,Repeat,0
0028a7d8db7b0247652509358ad8d755,259,2,354.87,3.0,3.0,0.0,177.435,2,Repeat,1
00324c9f4d710e7bac5c5ba679714430,434,2,109.78,5.0,5.0,0.0,54.89,2,Repeat,1
004288347e5e88a27ded2bb23747066c,228,2,354.37,5.0,5.0,0.0,177.185,1,Repeat,1
0058f300f57d7b93c477a131a59b36c3,160,2,96.02000000000001,5.0,5.0,0.0,48.010000000000005,1,Repeat,0
00986cafefb6e670cceca01694bda599,241,2,66.91,4.0,4.0,0.0,33.455,2,Repeat,1
00a39521eb40f7012db50455bf083460,88,2,123.25,4.0,4.0,0.0,61.625,1,Repeat,0
00a9fd000ff87bb48b989df819c418f5,163,4,259.4,5.0,5.0,0.0,64.85,2,Repeat,0
00b309d0151d92709de70e43d662711b,323,2,107.78,4.0,4.0,0.0,53.89,1,Repeat,1
00bd169997f142571c113645554663d6,282,2,55.599999999999994,5.0,5.0,0.0,27.799999999999997,2,Repeat,1
00be1845d956d40218db17093f667764,278,2,68.66,1.0,1.0,1.0,34.33,1,Repeat,1
00cc12a6d8b578b8ebd21ea4e2ae8b27,526,4,252.4,4.0,3.0,0.0,63.1,1,Repeat,1
00d8ba74be3eee415fe4508fdd325ee5,210,2,372.69,5.0,5.0,0.0,186.345,1,Repeat,1
00ec6ce865af3a65e9cca32b180e5d20,173,2,186.96,3.0,3.0,0.0,93.48,1,Repeat,0
00face5c8f7dbb7eefd4112722f26903,174,6,28.19,5.0,5.0,0.0,4.698333333333333,2,Repeat,0
01027e860e6fb9591599d94a4189e2ad,99,2,114.52,5.0,5.0,0.0,57.26,2,Repeat,0
011575986092c30523ecb71ff10cb473,133,2,214.9,3.5,3.0,0.0,107.45,1,Repeat,0
0117fb2675e2936a2e96dee22e8c992b,108,2,98.09,1.0,1.0,1.0,49.045,1,Repeat,0
011b4adcd54683b480c4d841250a987f,196,2,236.3,4.5,4.0,0.0,118.15,1,Repeat,1
012216caf4f1082ba3fc02e584de9a29,316,2,91.77,4.0,4.0,0.0,45.885,2,Repeat,1
012452d40dafae4df401bced74cdb490,108,3,495.33,4.666666666666667,4.0,0.0,165.10999999999999,2,Repeat,0
012a218df8995d3ec3bb221828360c86,73,3,1510.38,3.6666666666666665,3.0,0.0,503.46000000000004,2,Repeat,0
01399b72331afe80cc0c3a982cafb177,53,3,40.75,4.0,4.0,0.0,13.583333333333334,2,Repeat,0
0139d2cb6ca3b630b5833d49634d328e,287,2,133.96,5.0,5.0,0.0,66.98,2,Repeat,1
013ef03e0f3f408dd9bf555e4edcdc0a,41,2,245.37,5.0,5.0,0.0,122.685,1,Repeat,0
013f3d6549189a4802a268131ef47a77,322,2,94.9,5.0,5.0,0.0,47.45,2,Repeat,1
013f4353d26bb05dc6652f1269458d8d,275,2,356.39,5.0,5.0,0.0,178.195,1,Repeat,1
014dc284927e986549bf255eb79eb3ab,244,2,138.39000000000001,5.0,5.0,0.0,69.19500000000001,2,Repeat,1
014dcb5d582d60bca6a379e45a9041da,208,4,28.810000000000002,5.0,5.0,0.0,7.202500000000001,1,Repeat,1
015557c9912277312b9073947804a7ba,486,2,315.12,5.0,5.0,0.0,157.56,2,Repeat,1
01561f92006fd3ba8a8a4246b7f38101,323,2,146.68,1.0,1.0,1.0,73.34,1,Repeat,1
0178b244a5c281fb2ade54038dd4b161,33,2,259.89,3.5,3.0,0.0,129.945,1,Repeat,0
01873d3c2fc620aa701e30d2c4181673,141,2,58.61,3.0,3.0,0.0,29.305,2,Repeat,0
01886ef98f995e4f2dd75a1d04c97397,173,2,75.31,3.0,1.0,0.5,37.655,1,Repeat,0
01a22e2079ea71e17313b88e5811e54a,219,2,165.34,5.0,5.0,0.0,82.67,1,Repeat,1
01a379e7c61f254c6c1bfc842b4d9416,312,2,33.62,5.0,5.0,0.0,16.81,1,Repeat,1
01c289bb06354cdc7e6549570f20ada4,246,3,242.5,4.0,4.0,0.0,80.83333333333333,2,Repeat,1
01c92cf65b66be2fb861a163d4830f5a,190,2,126.44,4.0,4.0,0.0,63.22,2,Repeat,1
01d8df79b0fe245a03928d53fc25c223,387,2,137.44,5.0,5.0,0.0,68.72,2,Repeat,1
01e80828765c999c3f5a7713f3912309,464,2,44.39,5.0,5.0,0.0,22.195,1,Repeat,1
01f2285f85a1c603eb7ef755ad311769,91,2,463.03999999999996,4.5,4.0,0.0,231.51999999999998,1,Repeat,0
01f382f4c95df31e05e27f1151a015a0,342,2,135.86,3.0,3.0,0.0,67.93,2,Repeat,1
02168ea18740a0fdaaa15f11bebba5db,324,2,264.04,3.0,1.0,0.5,132.02,1,Repeat,1
0241fa2e9adf0576cb0f845377d05c03,36,2,199.03,4.0,4.0,0.0,99.515,1,Repeat,0
024676cef113f6c81db6c5b8d29e5ee9,121,12,63.58,5.0,5.0,0.0,5.298333333333333,2,Repeat,0
027803eb28cc01fbdf5da72b109fabee,317,2,101.43,5.0,5.0,0.0,50.715,1,Repeat,1
029b457bd01199c39136f89e0eddcd3a,237,2,347.55,5.0,5.0,0.0,173.775,1,Repeat,1
02b20b7c813efede140142ac610e36dc,163,2,194.57,5.0,5.0,0.0,97.285,1,Repeat,0
02ce431b0797023384d47edad5dd7284,214,2,131.01999999999998,5.0,5.0,0.0,65.50999999999999,2,Repeat,1
02d11346c78159884066cdd2a5e0e102,37,2,67.54,5.0,5.0,0.0,33.77,2,Repeat,0
02e4c56fefa30628768ffe326d332e2f,231,2,96.63,4.0,3.0,0.0,48.315,1,Repeat,1
02e6a8a86c74efabd650f01e0c460a1d,375,2,55.269999999999996,5.0,5.0,0.0,27.634999999999998,1,Repeat,1
02e9109b7e0a985108b43e573b6afb23,108,3,602.73,4.333333333333333,4.0,0.0,200.91,1,Repeat,0
02e9827c15167f699df7bf90d326ffdb,144,2,68.86,4.5,4.0,0.0,34.43,2,Repeat,0
02fbe4db886eb98774c8ba300d39fa79,194,3,290.96,5.0,5.0,0.0,96.98666666666666,1,Repeat,1
0303ef40ef95a500ba038e141c9b935b,69,2,61.480000000000004,1.0,1.0,1.0,30.740000000000002,2,Repeat,0
030fe1fc5f80eb7a45b48975efe9c55a,188,2,127.52,1.0,1.0,1.0,63.76,1,Repeat,1
031cbbcf2be8c834d2d5d25d3ee49926,70,2,86.41,1.0,1.0,1.0,43.205,1,Repeat,0
031e19fc630c4121f1238716f41675c3,57,4,71.88,4.0,4.0,0.0,17.97,1,Repeat,0
031ea691b99fc101dcad357d1a83573f,415,2,73.04,4.0,4.0,0.0,36.52,1,Repeat,1
03241d5fec570b04acb3869bb343d8cb,27,2,37.46,5.0,5.0,0.0,18.73,2,Repeat,0
032b3a42598667caf2e099999b9dc1b9,36,2,495.96,5.0,5.0,0.0,247.98,1,Repeat,0
0333b2fc6ba7014702e08ef613850270,297,2,93.0,5.0,5.0,0.0,46.5,1,Repeat,1
0334ba9c67b6f75abf243ebfcc46de6b,239,4,30.0,4.0,4.0,0.0,7.5,1,Repeat,1
0341bbd5c969923a0f801b9e2d10a7b8,92,2,1999.6799999999998,5.0,5.0,0.0,999.8399999999999,1,Repeat,0
035df089079c12357e9de09e7e608177,52,2,112.05,5.0,5.0,0.0,56.025,1,Repeat,0
03608653642e4fea136e39e9382d74f2,478,2,72.05000000000001,5.0,5.0,0.0,36.025000000000006,2,Repeat,1
0361e980b28826f4d286ac144d9b319a,59,2,456.91999999999996,4.5,4.0,0.0,228.45999999999998,1,Repeat,0
037825369fca3cecc1c05ebbce8b7f96,278,2,65.71,5.0,5.0,0.0,32.855,2,Repeat,1
038301b43811478e1a8dc0e476eaf52e,139,2,645.53,4.5,4.0,0.0,322.765,1,Repeat,0
0396c443fdda5498c7e9ed5b34871c5a,482,2,120.84,5.0,5.0,0.0,60.42,1,Repeat,1
03d4953a455f8489e712ea80699de878,39,2,72.65,5.0,5.0,0.0,36.325,1,Repeat,0
03dabd77cb0ed7a26fafe19e36b67742,472,2,99.44999999999999,5.0,5.0,0.0,49.724999999999994,1,Repeat,1
03ef7f03905227e15c7b6c860554b3cb,43,2,238.55,5.0,5.0,0.0,119.275,2,Repeat,0
03fd9f7966e4ffe00c2ca9705132171b,106,3,42.29,4.0,4.0,0.0,14.096666666666666,2,Repeat,0
040405db5973c3f48155ed4280b29b86,113,2,154.34,4.0,4.0,0.0,77.17,1,Repeat,0
041b7e4ea440a4636a6c77ca8397128c,295,3,97.71000000000001,5.0,5.0,0.0,32.57,2,Repeat,1
041caba6a63ace5818387698ea85cdb2,98,3,153.45999999999998,4.666666666666667,4.0,0.0,51.15333333333333,1,Repeat,0
043aee247e71edff7045664609f4d806,408,2,405.40999999999997,4.5,4.0,0.0,202.70499999999998,1,Repeat,1
0451ef5a31cea3e14ce02d768d7c9943,437,2,387.39,4.5,4.0,0.0,193.695,1,Repeat,1
0482f8eb57c7df640fa8a9a6a883c488,63,2,147.81,4.0,4.0,0.0,73.905,2,Repeat,0
0488328f0b499963e32a37fa42a20ca0,357,2,384.16999999999996,5.0,5.0,0.0,192.08499999999998,1,Repeat,1
048dbdf8f9bbd1be87b25868d1408311,297,2,178.95,4.0,4.0,0.0,89.475,1,Repeat,1
04be500031efe43d2defff8c41810543,210,2,255.79000000000002,4.0,3.0,0.0,127.89500000000001,1,Repeat,1
04c55667b44fae5f50ed71d40c633d09,448,4,34.75,5.0,5.0,0.0,8.6875,2,Repeat,1
04d3c2795b83634312bf3f86f41f7901,386,2,596.39,3.0,1.0,0.5,298.195,1,Repeat,1
04def30885d4c09ed018f9bee6c3fac8,170,2,57.83,4.0,4.0,0.0,28.915,2,Repeat,0
04e495a3f45df8b41be2e934bbc16961,218,2,199.76,3.5,3.0,0.0,99.88,1,Repeat,1
04eb4e845e65d2c3ae9f85f2a0be5518,534,2,154.65,4.0,4.0,0.0,77.325,2,Repeat,1
04fc637963fe982dd25ac58e4f4770c1,157,2,127.59,4.0,4.0,0.0,63.795,1,Repeat,0
050555c26479bbb8ba0740c37e7454d0,145,3,148.32,4.666666666666667,4.0,0.0,49.44,1,Repeat,0
0509ab034845adb0b4c91b6f0e7b7260,117,2,339.46,5.0,5.0,0.0,169.73,1,Repeat,0
0526069a90ad5605a9b7b0c21bb9d1ca,63,2,21.39,3.0,3.0,0.0,10.695,2,Repeat,0
0532d96f4f22a1fd1fb643c84f834fc0,318,2,67.59,4.0,4.0,0.0,33.795,2,Repeat,1
053b7090271ed4dacbfe0afd6382bbab,335,2,115.49,4.5,4.0,0.0,57.745,1,Repeat,1
